Category,Link
Not-Configuration,https://github.com/openstack/election/blob/master/candidates/ocata/Oslo/harlowja.txt
Not-Configuration,https://github.com/openstack/python-openstackclient/blob/master/openstackclient/api/image_v2.py
Not-Configuration,https://github.com/openstack/release-test/blob/master/doc/requirements.txt
Not-Configuration,https://github.com/openstack/horizon/blob/master/horizon/static/framework/widgets/table/hz-table-footer.directive.js
Not-Configuration,https://github.com/openstack/python-ironicclient/blob/master/releasenotes/notes/allow-api-user-to-use-latest-6b80e9f584eaaa4e.yaml
Not-Configuration,https://github.com/openstack/tripleo-common/blob/master/releasenotes/notes/nova_novnc_proxy_ssl_healthcheck-f9ad0dffb459ef4b.yaml
Not-Configuration,https://github.com/openstack/freezer-web-ui/blob/master/manage.py
Not-Configuration,https://github.com/openstack/keystoneauth/blob/master/releasenotes/notes/bug-1840235-ef2946d149ac329c.yaml
Not-Configuration,https://github.com/openstack/octavia-lib/blob/master/requirements.txt
Not-Configuration,https://github.com/openstack/tempest/blob/master/tempest/lib/services/object_storage/capabilities_client.py
Not-Configuration,https://github.com/openstack/manila/blob/master/manila/tests/api/views/test_versions.py
Not-Configuration,https://github.com/openstack/puppet-nova/blob/master/lib/puppet/provider/nova.rb
Not-Configuration,https://github.com/openstack/kolla/blob/master/releasenotes/notes/remove-prometheus-v1-3bc458bed2228a9e.yaml
Not-Configuration,https://github.com/openstack/nova/blob/master/nova/api/openstack/compute/schemas/quota_sets.py
Not-Configuration,https://github.com/openstack/rally-openstack/blob/master/rally_openstack/task/scenarios/murano/packages.py
Not-Configuration,https://github.com/openstack/python-monascaclient/blob/master/monascaclient/v2_0/notifications.py
Not-Configuration,https://github.com/openstack/octavia/blob/master/releasenotes/source/ocata.rst
Not-Configuration,https://github.com/openstack/puppet-octavia/blob/master/releasenotes/notes/keystone-authtoken-service_type-28c5a0e20cd5bdd4.yaml
Not-Configuration,https://github.com/openstack/ironic/blob/master/releasenotes/notes/remove-agent-passthru-432b18e6c430cee6.yaml
Not-Configuration,https://github.com/openstack/election/blob/master/candidates/ocata/TC/dhellmann.txt
Not-Configuration,https://github.com/openstack/magnum/blob/master/releasenotes/notes/fix-k8s-coe-version-a8ea38f327ea6bb3.yaml
Not-Configuration,https://github.com/openstack/monasca-api/blob/master/CONTRIBUTING.rst
Not-Configuration,https://github.com/openstack/magnum-ui/blob/master/releasenotes/notes/rocky-56165675d959b593.yaml
Not-Configuration,https://github.com/openstack/oslo.privsep/blob/master/releasenotes/source/ussuri.rst
Not-Configuration,https://github.com/openstack/python-keystoneclient/blob/master/releasenotes/notes/remove-middleware-eef8c40117b465aa.yaml
Not-Configuration,https://github.com/openstack/heat-cfnclient/blob/master/HACKING.rst
Not-Configuration,https://github.com/openstack/puppet-murano/blob/master/spec/classes/murano_keystone_auth_spec.rb
Not-Configuration,https://github.com/openstack/performance-docs/blob/master/doc/source/labs/grid5000.rst
Not-Configuration,https://github.com/openstack/puppet-tripleo/blob/master/releasenotes/notes/remove-heat-api-cloudwatch-bb2b8d0cdff775e2.yaml
Not-Configuration,https://github.com/openstack/os-ken/blob/master/os_ken/services/protocols/ovsdb/api.py
Not-Configuration,https://github.com/openstack/os-performance-tools/blob/master/os_performance_tools/tests/test_collect.py
