Category ,Link
Conf-Infrastructure-Variables,https://github.com/openstack/openstack-helm/blob/master/keystone/values.yaml
Conf-Infrastructure-Setup,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/common/tasks/config.yml
Inf-Creation,https://github.com/openstack/adjutant-ui/blob/master/tools/with_venv.sh
Conf-Infrastructure-Setup,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/swift/tasks/precheck.yml
Conf-Infrastructure-Template,https://github.com/openstack/election/blob/master/openstack_election/templates/ptl_voting_kickoff.j2
Conf-Infrastructure-Setup,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/elasticsearch/tasks/pull.yml
Conf-Infrastructure-Setup,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/etcd/tasks/precheck.yml
Conf-Infrastructure-Template,https://github.com/openstack/charm-neutron-gateway/blob/master/templates/queens/openvswitch_agent.ini
Conf-Infrastructure-Template,https://github.com/openstack/rpm-packaging/blob/master/openstack/futurist/futurist.spec.j2
Conf-Infrastructure-Setup,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/cloudkitty/tasks/clone.yml
Conf-Infrastructure-Template,https://github.com/openstack/charm-neutron-gateway/blob/master/templates/rocky/l3_agent.ini
Inf-Creation,https://github.com/openstack/charm-ceilometer-agent/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Template,https://github.com/openstack/rpm-packaging/blob/master/openstack/XStatic-Font-Awesome/XStatic-Font-Awesome.spec.j2
Conf-Infrastructure-Setup,https://github.com/openstack/devstack-vagrant/blob/master/puppet/manifests/default.pp
Inf-Creation,https://github.com/openstack/charm-cinder/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Setup,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/bifrost/tasks/deploy-servers.yml
Conf-Infrastructure-Variables,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/barbican/defaults/main.yml
Conf-Infrastructure-Variables,https://github.com/openstack/charm-nova-cloud-controller/blob/master/charmhelpers/contrib/hardening/defaults/os.yaml
Conf-Externals,https://github.com/openstack/magnum/blob/master/etc/magnum/magnum-policy-generator.conf
Conf-ServiceOperations,https://github.com/openstack/grenade/blob/master/projects/60_nova/resources.sh
Conf-Infrastructure-Template,https://github.com/openstack/kayobe/blob/master/ansible/roles/kolla-openstack/templates/neutron.conf.j2
Conf-Infrastructure-Variables,https://github.com/openstack/openstack-helm/blob/master/aodh/values.yaml
Inf-Creation,https://github.com/openstack/ansible-role-tripleo-modify-image/blob/master/files/rpm_install.sh
Conf-Infrastructure-Variables,https://github.com/openstack/openstack-helm/blob/master/cinder/values.yaml
Inf-Creation,https://github.com/openstack/charm-neutron-gateway/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-ServiceOperations,https://github.com/openstack/kayobe/blob/master/dev/seed-deploy.sh
Conf-Infrastructure-Template,https://github.com/openstack/charm-neutron-gateway/blob/master/templates/ocata/dhcp_agent.ini
Conf-Reader,https://github.com/openstack/murano/blob/master/murano/dsl/yaql_integration.py
Conf-Declaration,https://github.com/openstack/masakari/blob/master/masakari/conf/service.py
Conf-Infrastructure-Variables,https://github.com/openstack/horizon/blob/master/roles/fetch-video-output/defaults/main.yaml
Conf-Infrastructure-Template,https://github.com/openstack/kayobe/blob/master/ansible/roles/kolla-openstack/templates/heat.conf.j2
Conf-Infrastructure-Variables,https://github.com/openstack/openstack-ansible/blob/master/inventory/group_vars/network_hosts.yml
Conf-Infrastructure-Variables,https://github.com/openstack/kayobe/blob/master/ansible/roles/drac-boot-mode/vars/main.yml
Conf-Infrastructure-Variables,https://github.com/openstack/charm-openstack-dashboard/blob/master/charmhelpers/contrib/hardening/defaults/apache.yaml
Conf-Infrastructure-Template,https://github.com/openstack/kayobe/blob/master/ansible/roles/kolla-openstack/templates/ironic-inspector.conf.j2
Conf-Infrastructure-Setup,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/gnocchi/tasks/copy-certs.yml
Conf-Environment-Access,https://github.com/openstack/openstack-ansible/blob/master/etc/openstack_deploy/env.d/neutron_ovn.yml.example
Conf-Infrastructure-Template,https://github.com/openstack/openstack-ansible-os_swift/blob/master/templates/drive-audit.conf.j2
Conf-ServiceOperations,https://github.com/openstack/devstack/blob/master/tools/make_cert.sh
Conf-Infrastructure-Template,https://github.com/openstack/charm-neutron-gateway/blob/master/templates/newton/lbaas_agent.ini
Conf-Infrastructure-Variables,https://github.com/openstack/openstack-helm-infra/blob/master/cert-rotation/values.yaml
Conf-Infrastructure-Setup,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/hacluster/tasks/upgrade.yml
Conf-Infrastructure-Variables,https://github.com/openstack/charm-ceph-proxy/blob/master/charmhelpers/contrib/hardening/defaults/apache.yaml
Conf-Infrastructure-Template,https://github.com/openstack/charm-neutron-gateway/blob/master/templates/icehouse/metadata_agent.ini
Conf-Infrastructure-Template,https://github.com/openstack/election/blob/master/openstack_election/templates/tc_voting_last_days.j2
Conf-Infrastructure-Variables,https://github.com/openstack/ansible-role-collect-logs/blob/master/roles/collect_logs/vars/family-redhat.yml
Conf-Infrastructure-Setup,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/etcd/tasks/check-containers.yml
Conf-Infrastructure-Variables,https://github.com/openstack/openstack-helm-infra/blob/master/namespace-config/values.yaml
Conf-Infrastructure-Template,https://github.com/openstack/charm-neutron-openvswitch/blob/master/templates/kilo/fwaas_driver.ini
Inf-Creation,https://github.com/openstack/tacker/blob/master/samples/mgmt_driver/kubernetes/install_k8s_cluster.sh
Conf-Infrastructure-Setup,https://github.com/openstack/devstack-vagrant/blob/master/puppet/modules/user/manifests/create.pp
Conf-Infrastructure-Variables,https://github.com/openstack/openstack-ansible/blob/master/inventory/group_vars/rabbitmq_all.yml
Inf-Creation,https://github.com/openstack/charm-keystone/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Inf-Creation,https://github.com/openstack/openstack-helm/blob/master/tools/deployment/baremetal/110-compute-kit.sh
Conf-Infrastructure-Template,https://github.com/openstack/rpm-packaging/blob/master/openstack/murano/murano.spec.j2
Conf-Infrastructure-Setup,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/cloudkitty/tasks/upgrade.yml
Conf-Infrastructure-Template,https://github.com/openstack/charm-nova-cloud-controller/blob/master/templates/train/nova.conf
Conf-Externals,https://github.com/openstack/zun/blob/master/tools/zun-config-generator.conf
Conf-Infrastructure-Template,https://github.com/openstack/rpm-packaging/blob/master/openstack/ironic-python-agent/ironic-python-agent.spec.j2
Conf-Externals,https://github.com/openstack/placement/blob/master/etc/placement/config-generator.conf
Conf-Infrastructure-Template,https://github.com/openstack/openstack-ansible-os_magnum/blob/master/templates/api-paste.ini.j2
Conf-Infrastructure-Template,https://github.com/openstack/ansible-role-collect-logs/blob/master/roles/collect_logs/templates/odl_extra_logs.j2
Conf-Reader,https://github.com/openstack/masakari-monitors/blob/master/masakarimonitors/introspectiveinstancemonitor/qemu_utils.py
Conf-Infrastructure-Setup,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/collectd/tasks/stop.yml
Conf-Environment-Access,https://github.com/openstack/openstack-ansible/blob/master/etc/openstack_deploy/conf.d/senlin.yml.example
Conf-Declaration,github.com/openstack/monasca-notification/blob/master/monasca_notification/plugins/webhook_notifier.py
Conf-Infrastructure-Template,https://github.com/openstack/rpm-packaging/blob/master/openstack/manila-tempest-plugin/manila-tempest-plugin.spec.j2
Inf-Creation,https://github.com/openstack/kuryr-kubernetes/blob/master/contrib/devstack-heat/hot/distro_deps.sh
Conf-Externals,https://github.com/openstack/ironic-python-agent/blob/master/tools/config/ipa-config-generator.conf
Conf-ServiceOperations,https://github.com/openstack/freezer-api/blob/master/devstack/gate_hook.sh
Conf-ServiceOperations,https://github.com/openstack/grenade/blob/master/projects/15_placement/upgrade.sh
Conf-ServiceOperations,https://github.com/openstack/cinder/blob/master/tools/coding-checks.sh
Conf-Externals,https://github.com/openstack/pycadf/blob/master/etc/pycadf/swift_api_audit_map.conf
Conf-ServiceOperations,https://github.com/openstack/barbican/blob/master/bin/keystone_data.sh
Conf-Infrastructure-Template,https://github.com/openstack/rpm-packaging/blob/master/openstack/swift/swift.spec.j2
Conf-Infrastructure-Template,https://github.com/openstack/charm-neutron-api-plugin-ironic/blob/master/src/templates/etc_neutron_plugins_ml2_ironic_neutron_agent.ini
Conf-Environment-Access,https://github.com/openstack/openstack-ansible/blob/master/etc/openstack_deploy/conf.d/zun.yml.example
Conf-Infrastructure-Setup,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/gnocchi/tasks/upgrade.yml
Conf-Externals,https://github.com/openstack/osops/blob/master/example-configs/MIT_CSAIL/controller/etc/nova/api-paste.ini
Conf-Infrastructure-Variables,https://github.com/openstack/openstack-ansible/blob/master/inventory/group_vars/ceilometer_all.yml
Conf-Infrastructure-Variables,https://github.com/openstack/openstack-ansible/blob/master/inventory/group_vars/utility_all.yml
Conf-Infrastructure-Template,https://github.com/openstack/rpm-packaging/blob/master/openstack/pyghmi/pyghmi.spec.j2
Conf-Infrastructure-Template,https://github.com/openstack/ansible-role-qdrouterd/blob/master/templates/qdrouterd.conf.j2
Conf-Infrastructure-Template,https://github.com/openstack/rpm-packaging/blob/master/openstack/designate-tempest-plugin/designate-tempest-plugin.spec.j2
Conf-ServiceOperations,https://github.com/openstack/kuryr-libnetwork/blob/master/contrib/vagrant/add_vagrant_user.sh
Conf-Reader,https://github.com/openstack/freezer/blob/master/freezer/engine/manager.py
Conf-Infrastructure-Variables,https://github.com/openstack/openstack-ansible-galera_server/blob/master/vars/ubuntu-22.04.yml
